Querubina Barrocas
Guadalupe Alvim
Patrícia Carballo
Moisés Quinteiro
Aurélio Sousa
Natividade Paiacã
Leopoldina Freire
Viridiana Gutiérrez
Florinda Peçanha
Dina Souto
Anabela Aldea
Quirino Camarinho
Alicia Tupinambá
Egas Garrau
Celeste Domínguez
Silvana Caldas
Firmino Felipe
Zuleica Prudente
Brás Botelho
Eulália Bicalho
Sílvia Remígio
Joana Porciúncula
Luize Palha
Hermano Freyre
Brites Bencatel
João Albernaz
Aurora Bulhões
Marília Varela
Artur Delgado
Regina Losada
Astolfo Brum
Ernesto Buenaventura
Jordana Gameiro
Nicolas Vázquez
Israel Milheirão
Sandoval Estévez
Floripes Covilhã
Jónatas Villalobos
Alda Ferraz
Napoleão Castanheira
Isilda Hipólito
Alda Quirino
Pandora Beiriz
Orestes Lampreia
Aires Brandán
Ângela Viana
Virgílio Toscano
Guálter, Walter Cachão
Plácido Camarinho
Vanderlei Ignacio
Nídia Mansilha
Josefina Bugalho
Tânia Piñero
Antão Sarmiento
Manuel Bulhosa
Guilhermina Guimarães
Joaquim Vieira
Jaime Sanches
Teodoro Acuña
Ricardina Guerrero
Júlio Jorge
Jadir Saraiva
Rosália Capanema
Ferdinando Bogalho
Geraldo Fogaça
Samuel Pontes
Teodorico Caires
Ramão Carneiro
Quintiliano Ferrera
Violeta Sá
Joaquim Tristán
Mariano Ochoa
Florinda Murici
Joaquina Macieira
Magali Téllez
Valério Paiva
Crispim Cabrera
Mônica   Fortunato
Poliana Sobral
Jaime Lameirinhas
Sarita Ulloa
Moema Mayor
Zubaida Pêcego
Antão Pessoa
Roquita Varela
Mara Vasconcelos
Gilberto Antunes
Alvito Henriques
Doroteia Ornelas
Valéria Garcia
Taíssa Cesário
Miriam Jaguaribe
Silvério Viveiros
Zózimo Covelhã
Maurício Menezes
Renata Bethancout
José Capucho
Valério Beltrán
Carminda Brum
